date,retail_sales,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum,gdp_growth,inflation,interest_rate,unemployment
2004-04-30,,17717.71,-3.090616515230737,13.967521490671707,1538.865655435336,2101.991806538916,16110.556666666667,13516.397316666667,12181.020174833337,3929.536491833333,34.222028005952296,5.977519987015001,39.01977745251559,3.881960485426676,,26.502409822334048,,,,,,,
2004-05-01,,17537.155,-2.56437336253017,8.79385745457114,1497.604136430783,2117.0441401426688,16178.932499999999,13547.443220000001,12211.267624722223,3967.6648752777774,36.0788512499999,11.474194325093002,44.37963113907275,3.934015622642541,,26.799724009834048,,,,,,,
2004-05-31,,17356.6,-2.038130209829603,3.620193418470574,1456.3426174262297,2132.096473746422,16247.308333333332,13578.489123333333,12241.51507461111,4005.793258722222,35.11919943452375,3.0772236293608977,36.82245873916544,3.8726896150012022,,27.06504980348484,,,,,,,
2004-06-01,,17607.809999999998,0.42828057338625847,5.458895883491099,1411.3339720815434,2149.1729997464963,16324.8455,13614.431974444444,12273.419902027777,4051.425597972224,34.1595476190476,-5.319747066371205,29.26528633925813,3.8113636073598633,,27.330375597135635,,,,,,,
2004-06-30,,17859.02,2.8946913566021197,7.297598348511625,1366.3253267368568,2166.249525746571,16402.38266666667,13650.374825555557,12305.324729444445,4097.0579372222255,35.2564647186147,0.5512846232398951,30.82971878420637,3.8126060002365074,,27.620931960771998,,,,,,,
2004-07-01,,18095.73,2.772782348398295,10.156420985452387,1335.037545488683,2186.751649462775,16481.173833333334,13689.314518888888,12339.250850166667,4141.922983166669,36.3533818181818,6.422316312850995,32.39415122915461,3.813848393113151,,27.911488324408364,,,,,,,
2004-07-30,,18332.44,2.65087334019447,13.015243622393148,1303.7497642405094,2207.2537731789785,16559.965,13728.254212222222,12373.17697088889,4186.788029111111,38.43529090909085,8.938023132348604,36.874174239292934,3.974302269688705,,28.261275210373274,,,,,,,
2004-08-01,,18445.629999999997,1.9428667557814137,12.679506600662716,1295.039294733881,2228.745834253937,16629.502666666667,13768.357722222221,12407.230731694446,4222.271934972223,40.5171999999999,11.453729951846212,41.35419724943126,4.134756146264259,,28.611062096338184,,,,,,,
2004-08-31,,18558.82,1.2348601713683571,12.343769578932283,1286.3288252272528,2250.237895328896,16699.040333333334,13808.46123222222,12441.2844925,4257.755840833335,39.83333863636355,4.03903520576042,45.20432509151904,4.284832365229256,,28.875053384216972,,,,,,,
2004-09-01,,18615.845,0.9246963881753945,9.937675883165486,1270.4330145952204,2272.6320246217892,16771.413333333334,13847.889303333333,12474.17611286111,4297.237220472223,39.1494772727272,-3.375659540325371,49.05445293360682,4.434908584194253,,29.13904467209576,,,,,,,
2004-09-30,,18672.87,0.6145326049824318,7.531582187398689,1254.537203963188,2295.026153914683,16843.786333333333,13887.317374444445,12507.067733222222,4336.718600111111,41.2624719696969,3.7094190417433675,50.75842428842127,4.751619671620247,,29.444812355176566,,,,,,,
2004-10-01,,18958.605,1.8374809936447467,9.733109363082239,1261.099101340423,2323.1361008290405,16917.734,13929.270636111112,12541.244632694445,4376.489367305556,43.3754666666666,10.794497623812106,52.46239564323572,5.068330759046242,,29.75058003825737,,,,,,,
2004-10-29,,19244.34,3.0604293823070616,11.934636538765789,1267.660998717658,2351.2460477433974,16991.681666666667,13971.223897777778,12575.421532166669,4416.2601345,41.1371683333333,0.23696235197178694,45.136601221286085,5.15960732033396,,29.98231345130085,,,,,,,
2004-11-01,,19534.559999999998,3.0382944694156033,11.798967012459828,1299.9265069978458,2387.2108703573635,17065.308,14013.45775888889,12611.383544944445,4453.924455055557,38.89887,-10.320572919868532,37.81080679933644,5.250883881621676,,30.21404686434433,,,,,,,
