date,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend
1987-06-30,5971.235490000001,0.7034041729079288,2.5014864275119786,745.0143833586309,804.4260584529624,5262.034271333334,4398.414264333334,5690.581896166667,4485.569818166668
1987-07-31,6214.282770000001,4.070301370746976,7.893000924486704,716.4788519849557,826.3224453128585,5340.123255333334,4415.18204688889,5690.581896166667,4485.569818166668
1987-08-31,6145.87704,-1.1007823836120756,5.253030204341602,698.3888490261693,846.2232901656014,5404.504237000001,4434.247818666667,5690.581896166667,4485.569818166668
1987-09-30,6127.600670000001,-0.297376108910885,2.064706865050381,670.330893964575,864.0744562147547,5469.5625973333335,4456.662960111112,5690.581896166667,4485.569818166668
1987-10-30,5955.04532,-2.8160345181240443,0.1366345993263573,631.904450265905,877.4581350103399,5527.71632,4477.351663333334,5690.581896166667,4485.569818166668
1987-11-30,5945.750290000001,-0.1560866374733072,-1.363291708829717,583.9507288105659,890.0581573022314,5585.922091666667,4497.773273444444,5690.581896166667,4485.569818166668
1987-12-31,6256.747410000001,5.230578225309213,3.793039074464488,539.149462788644,907.7083665046864,5652.697771333334,4522.469940555557,5690.581896166667,4485.569818166668
1988-01-29,6273.042740000001,0.2604441082910913,0.1509443099229512,485.6068190016192,924.2576709253703,5718.658740333334,4548.079145666668,5690.581896166667,4485.569818166668
1988-02-29,6095.08052,-2.836936194699036,-1.7715634363578592,414.96931395549706,933.251248919044,5776.965434666667,4575.445533777778,5690.581896166667,4485.569818166668
1988-03-31,5892.939600000001,-3.316460206501093,2.5684683525819985,362.2246867211688,938.8029353144497,5816.654641000001,4599.755621555556,5690.581896166667,4485.569818166668
1988-04-29,6010.92262,2.0021080820173287,4.898081877320859,348.2973300762115,948.5297095916414,5841.572007666667,4621.665000333333,5690.581896166667,4485.569818166668
1988-05-31,6013.32224,0.0399209930271871,1.4131867635747808,340.778387850136,957.3926701601154,5860.978017666668,4644.050807111112,5690.581896166667,4485.569818166668
1988-06-30,5993.597900000001,-0.3280106938024274,0.3745022288511368,316.84079985547635,963.222745411486,5887.820999666667,4668.793313444446,5690.581896166667,4485.569818166668
1988-07-29,5996.77808,0.0530596154940443,-3.500077129576784,280.8520360416236,968.2371295505876,5917.471972333334,4693.765170555556,5690.581896166667,4485.569818166668
1988-08-31,6097.131700000001,1.6734589584812554,-0.7931388747731805,256.0204081050041,971.0554766063804,5944.464107000001,4722.544620333334,5690.581896166667,4485.569818166668
1988-09-30,6049.713570000001,-0.7777120838639573,-1.2710864201925909,216.11150836694745,971.2982074783474,5972.335392666666,4751.536449444446,5690.581896166667,4485.569818166668
