date,iip_durable,iip_nondurable,iip_combined,iip_durable_yoy,iip_nondurable_yoy,iip_combined_yoy,iip_durable_mom,iip_nondurable_mom,iip_combined_mom,iip_durable_3m_avg,iip_durable_6m_avg,iip_nondurable_3m_avg,iip_nondurable_6m_avg,iip_combined_3m_avg,iip_combined_6m_avg
2018-09-01,5.4,6.4,5.9,-231.7073170731708,-39.04761904761904,84.375,-1.818181818181808,-1.538461538461533,-1.6666666666666607,8.333333333333334,8.200000000000001,6.066666666666666,4.05,7.2,6.124999999999999
2018-10-01,17.4,8.6,13.0,-293.3333333333333,4.878048780487809,-2099.3289832474734,222.2222222222222,34.37499999999998,120.33898305084745,9.433333333333335,10.45,7.166666666666667,4.233333333333333,8.299999999999999,7.341666666666666
2018-11-01,-3.0,-0.3,-1.65,-196.7741935483871,-101.26582278481013,-112.31343283582088,-117.24137931034484,-103.48837209302326,-112.6923076923077,6.600000000000001,8.833333333333334,4.9,4.45,5.75,6.641666666666667
2018-12-01,4.1,6.5,5.3,95.2380952380952,-61.30952380952381,-43.91534391534392,-236.66666666666663,-2266.666666666667,-421.2121212121213,6.166666666666668,7.250000000000001,4.933333333333334,5.5,5.55,6.374999999999999
2019-01-01,2.5,3.8,3.15,-67.10526315789474,-64.48598130841121,-65.57377049180327,-39.02439024390243,-41.53846153846155,-40.56603773584906,1.2000000000000015,5.316666666666667,3.333333333333333,5.25,2.266666666666667,5.283333333333332
2019-02-01,0.9,5.0,2.95,-88.0,-32.432432432432435,-60.40268456375839,-64.0,31.578947368421066,-6.349206349206337,2.5000000000000018,4.550000000000001,5.1000000000000005,5.0,3.8,4.775
2019-03-01,-3.2,1.4,-0.9000000000000001,-151.61290322580646,-90.0709219858156,-108.86699507389164,-455.55555555555554,-72.0,-130.5084745762712,0.0666666666666683,3.116666666666668,3.4000000000000004,4.166666666666666,1.7333333333333334,3.641666666666666
2019-04-01,2.2,5.4,3.8,-43.58974358974358,-27.999999999999996,-33.33333333333333,-168.75,285.7142857142858,-522.2222222222223,-0.0333333333333315,0.5833333333333345,3.9333333333333336,3.633333333333333,1.95,2.108333333333333
2019-05-01,0.2,8.1,4.15,-97.01492537313432,-606.2499999999999,62.74509803921568,-90.9090909090909,49.99999999999998,9.210526315789448,-0.2666666666666649,1.1166666666666678,4.966666666666667,5.033333333333334,2.35,3.0749999999999997
2019-06-01,-10.2,7.4,-1.3999999999999997,-175.0,3600.0,-120.28985507246377,-2443.038864160599,-8.64197530864197,-133.73493975903614,-2.599999999999998,-1.2666666666666653,6.966666666666666,5.183333333333334,2.1833333333333336,1.9583333333333328
